Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.000000000,0,0,0,0
0.449104600,0,0,0,1
0.949856900,0,0,0,0
1.450625400,0,0,0,1
1.951415000,0,0,0,0
2.205893900,1,0,0,0
2.206780400,0,0,0,0
2.207546400,1,0,0,0
2.208795100,0,0,0,0
2.209125000,1,0,0,0
2.209676400,0,0,0,0
2.312375400,1,0,0,0
2.312656500,0,0,0,0
2.312692000,1,0,0,0
2.312717100,0,0,0,0
2.312726100,1,0,0,0
2.312730600,0,0,0,0
2.312832500,1,0,0,0
2.316018000,0,0,0,0
2.316041900,1,0,0,0
2.316103400,0,0,0,0
2.316108000,1,0,0,0
2.316131900,0,0,0,0
2.452183600,0,0,0,1
2.952916800,0,0,0,0
2.978335900,1,0,0,0
3.103669200,0,0,0,0
3.103692600,1,0,0,0
3.103701600,0,0,0,0
3.103706200,1,0,0,0
3.453692800,1,0,0,1
3.667096100,0,0,0,1
3.667100700,1,0,0,1
3.667105200,0,0,0,1
3.667109800,1,0,0,1
3.796179000,0,0,0,1
3.796183600,1,0,0,1
3.796200900,0,0,0,1
3.796286900,1,0,0,1
3.796315800,0,0,0,1
3.796348000,1,0,0,1
3.796372100,0,0,0,1
3.796407500,1,0,0,1
3.796434800,0,0,0,1
3.796520100,1,0,0,1
3.796570500,0,0,0,1
3.796607700,1,0,0,1
3.800518800,0,0,0,1
3.800609000,1,0,0,1
3.800694300,0,0,0,1
3.800735900,1,0,0,1
3.800740500,0,0,0,1
3.800850200,1,0,0,1
3.800854700,0,0,0,1
3.800958300,1,0,0,1
3.801015300,0,0,0,1
3.801927300,1,0,0,1
3.802204900,0,0,0,1
3.802221600,1,0,0,1
3.802227000,0,0,0,1
3.802305600,1,0,0,1
3.802327900,0,0,0,1
3.802350200,1,0,0,1
3.802460900,0,0,0,1
3.802465400,1,0,0,1
3.802470000,0,0,0,1
3.802492900,1,0,0,1
3.802506600,0,0,0,1
3.802511100,1,0,0,1
3.802515700,0,0,0,1
3.802520300,1,0,0,1
3.802574000,0,0,0,1
3.803918800,1,0,0,1
3.803942700,0,0,0,1
3.804313900,1,0,0,1
3.804399200,0,0,0,1
3.804740400,1,0,0,1
3.804745000,0,0,0,1
3.804749600,1,0,0,1
3.804815200,0,0,0,1
3.804819800,1,0,0,1
3.804824300,0,0,0,1
3.804828900,1,0,0,1
3.804985500,0,0,0,1
3.805002800,1,0,0,1
3.805073100,0,0,0,1
3.805102000,1,0,0,1
3.805140900,0,0,0,1
3.805154800,1,0,0,1
3.805388400,0,0,0,1
3.805442100,1,0,0,1
3.805461100,0,0,0,1
3.805548000,1,0,0,1
3.805562000,0,0,0,1
3.805577600,1,0,0,1
3.805640800,0,0,0,1
3.805645300,1,0,0,1
3.807284500,0,0,0,1
3.807927700,1,0,0,1
3.807932300,0,0,0,1
3.807936900,1,0,0,1
3.807947500,0,0,0,1
3.807984700,1,0,0,1
3.808025200,0,0,0,1
3.808072300,1,0,0,1
3.808101200,0,0,0,1
3.808113500,1,0,0,1
3.808124200,0,0,0,1
3.809750500,1,0,0,1
3.809761200,0,0,0,1
3.809776200,1,0,0,1
3.809780800,0,0,0,1
3.809789800,1,0,0,1
3.809813600,0,0,0,1
3.954464800,0,0,0,0
4.455231600,0,0,0,1
4.704412200,1,0,0,1
4.849171700,0,0,0,1
4.849202800,1,0,0,1
4.849207400,0,0,0,1
4.849221000,1,0,0,1
4.849225600,0,0,0,1
4.849234700,1,0,0,1
4.849239200,0,0,0,1
4.849306300,1,0,0,1
4.849345200,0,0,0,1
4.849362400,1,0,0,1
4.849403000,0,0,0,1
4.849461900,1,0,0,1
4.849475600,0,0,0,1
4.849484700,1,0,0,1
4.849489300,0,0,0,1
4.849493900,1,0,0,1
4.849498400,0,0,0,1
4.849503000,1,0,0,1
4.956037900,1,0,0,0
5.111808000,1,0,0,0
