Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.000000000,1,0,0,0
0.342909400,0,0,0,0
0.342924500,0,0,0,1
0.443043400,0,0,0,0
0.543189500,0,0,0,1
0.643332800,0,0,0,0
0.743476600,0,0,0,1
0.843621100,0,0,0,0
0.943768100,0,0,0,1
1.043910600,0,0,0,0
1.144062000,0,0,0,1
1.244212300,0,0,0,0
1.344376200,0,0,0,1
1.444529100,0,0,0,0
1.544670000,0,0,0,1
1.644811500,0,0,0,0
1.744950400,0,0,0,1
1.845096100,0,0,0,0
1.945243700,0,0,0,1
2.045387000,0,0,0,0
2.145533200,0,0,0,1
2.245681700,0,0,0,0
2.345832400,0,0,0,1
2.445981600,0,0,0,0
2.546135300,0,0,0,1
2.646278400,0,0,0,0
2.746419100,0,0,0,1
2.846563800,0,0,0,0
2.946705300,0,0,0,1
3.046842200,0,0,0,0
3.146987600,0,0,0,1
3.247136700,0,0,0,0
3.347294700,1,0,0,0
3.347309700,1,0,0,1
3.848036500,1,0,0,0
4.348764000,1,0,0,1
4.849480000,1,0,0,0
5.350210100,1,0,0,1
5.850952600,1,0,0,0
6.351680900,0,0,0,0
6.351696100,0,0,0,1
6.451824700,0,0,0,0
6.551971200,0,0,0,1
6.652123000,0,0,0,0
6.752275900,0,0,0,1
6.852425100,0,0,0,0
6.952557500,0,0,0,1
7.052707400,0,0,0,0
7.152850600,0,0,0,1
7.252991700,0,0,0,0
7.353132400,0,0,0,1
7.453275900,0,0,0,0
7.553414300,0,0,0,1
7.653551300,0,0,0,0
7.753689200,0,0,0,1
7.853840600,0,0,0,0
7.954001200,0,0,0,1
8.054152100,0,0,0,0
8.093696000,0,0,0,0
