Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.000000000,0,0,0,0
0.419649100,0,0,0,1
0.419658100,0,0,1,1
0.419670500,1,0,1,1
0.519720000,1,0,0,1
0.619866900,1,0,1,1
0.720014200,1,0,0,1
0.820155400,1,0,1,1
0.920293400,1,0,1,0
0.920302600,1,0,0,0
1.020423400,1,0,1,0
1.120549300,1,0,0,0
1.170633700,0,0,0,0
1.220687300,0,0,1,0
1.320825100,0,0,0,0
1.420957800,0,0,0,1
1.420967200,0,0,1,1
1.521092500,0,0,0,1
1.621235500,0,0,1,1
1.721379400,0,0,0,1
1.821518100,0,0,1,1
1.921691700,0,0,1,0
1.921700900,0,0,0,0
1.921713300,1,0,0,0
2.021799500,1,0,1,0
2.121938500,1,0,0,0
2.222076100,1,0,1,0
2.322214800,1,0,0,0
2.422382200,1,0,0,1
2.422391300,1,0,1,1
2.522503900,1,0,0,1
2.622641200,1,0,1,1
2.672733200,0,0,1,1
2.722785700,0,0,0,1
2.822931000,0,0,1,1
2.923065400,0,0,1,0
2.923075300,0,0,0,0
3.023198100,0,0,1,0
3.123334900,0,0,0,0
3.223474000,0,0,1,0
3.323607600,0,0,0,0
3.423800800,0,0,0,1
3.423809800,0,0,1,1
3.423822400,1,0,1,1
3.924420300,1,0,1,0
3.924429700,1,0,0,0
4.174787700,0,0,0,0
4.425141900,0,0,0,1
4.425151300,0,0,1,1
4.925861500,0,0,1,0
4.925870500,0,0,0,0
4.925883100,1,0,0,0
5.426497500,1,0,0,1
5.426506600,1,0,1,1
5.676845300,0,0,1,1
5.927164700,0,0,1,0
5.927174500,0,0,0,0
6.427902700,0,0,0,1
6.427911800,0,0,1,1
6.427924200,1,0,1,1
6.527962900,1,0,0,1
6.628095600,1,0,1,1
6.728234800,1,0,0,1
6.828374600,1,0,1,1
6.928508800,1,0,1,0
6.928517900,1,0,0,0
7.028651800,1,0,1,0
7.128789000,1,0,0,0
7.178875600,0,0,0,0
7.228926700,0,0,1,0
7.329061300,0,0,0,0
7.429202100,0,0,0,1
7.429211500,0,0,1,1
7.529339300,0,0,0,1
7.629484500,0,0,1,1
7.729629800,0,0,0,1
7.829766400,0,0,1,1
7.929927800,0,0,1,0
7.929936900,0,0,0,0
7.929949300,1,0,0,0
8.030025700,1,0,1,0
8.130160300,1,0,0,0
8.230292100,1,0,1,0
8.330423900,1,0,0,0
8.430588700,1,0,0,1
8.430597800,1,0,1,1
8.530707800,1,0,0,1
8.630843800,1,0,1,1
8.680932200,0,0,1,1
8.730982700,0,0,0,1
8.831131100,0,0,1,1
8.931264600,0,0,1,0
8.931274500,0,0,0,0
9.031405500,0,0,1,0
9.131545500,0,0,0,0
9.231686300,0,0,1,0
9.331823600,0,0,0,0
9.432016800,0,0,0,1
9.432025800,0,0,1,1
9.432038400,1,0,1,1
9.932707500,1,0,1,0
9.932716900,1,0,0,0
10.092544000,1,0,0,0
