Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.000000000,0,0,0,1
0.997198000,0,0,0,0
0.997232100,0,0,0,1
1.097370300,1,0,0,1
1.197525400,0,0,0,1
1.297676000,1,0,0,1
1.397827400,0,0,0,1
1.497995900,0,0,0,0
1.498004300,1,0,0,0
1.598153500,0,0,0,0
1.698304100,1,0,0,0
1.998759500,1,0,0,1
1.998775600,0,0,0,1
2.098908600,1,0,0,1
2.399367700,0,0,0,1
2.499516300,0,0,0,0
2.499524700,1,0,0,0
2.599665100,0,0,0,0
2.900129300,1,0,0,0
3.000273900,1,0,0,1
3.000282200,0,0,0,1
3.100414400,1,0,0,1
3.200554200,0,0,0,1
3.300709600,1,0,0,1
3.501002200,1,0,0,0
3.601169900,0,0,0,0
3.701314500,1,0,0,0
3.801461900,0,0,0,0
4.001772200,0,0,0,1
4.101932800,1,0,0,1
4.202094300,0,0,0,1
4.302247000,1,0,0,1
4.402397700,0,0,0,1
4.502545600,0,0,0,0
4.502554000,1,0,0,0
4.803036800,0,0,0,0
5.003341800,0,0,0,1
5.103494700,1,0,0,1
5.203652600,0,0,0,1
5.504108000,0,0,0,0
5.504116400,1,0,0,0
5.604260800,0,0,0,0
5.904718100,1,0,0,0
6.004870500,1,0,0,1
6.505604500,1,0,0,0
6.605764000,0,0,0,0
6.705910100,1,0,0,0
6.806064700,0,0,0,0
7.006365800,0,0,0,1
7.106518600,1,0,0,1
7.206675300,0,0,0,1
7.507138100,0,0,0,0
7.507146500,1,0,0,0
7.807599000,0,0,0,0
8.007897000,0,0,0,1
8.108042700,1,0,0,1
8.208186300,0,0,0,1
8.508621100,0,0,0,0
8.508629500,1,0,0,0
8.608780400,0,0,0,0
8.909236700,1,0,0,0
9.009386100,1,0,0,1
9.209675500,0,0,0,1
9.309817200,1,0,0,1
9.409959800,0,0,0,1
9.510112600,0,0,0,0
9.710418000,1,0,0,0
9.810561500,0,0,0,0
9.910709400,1,0,0,0
10.010848300,1,0,0,1
10.211156700,0,0,0,1
10.311302500,1,0,0,1
10.411454000,0,0,0,1
10.511608100,0,0,0,0
10.711898800,1,0,0,0
10.812050100,0,0,0,0
10.912194300,1,0,0,0
11.012345900,1,0,0,1
11.012354200,0,0,0,1
11.112485000,1,0,0,1
11.412934700,0,0,0,1
11.513074300,0,0,0,0
11.713366000,1,0,0,0
11.813515300,0,0,0,0
11.913661100,1,0,0,0
12.013813500,1,0,0,1
12.013821800,0,0,0,1
12.113951900,1,0,0,1
12.124160000,1,0,0,1
