Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.000000000,1,0,0,1
0.001712200,0,0,0,1
0.001721200,0,0,0,0
0.004715800,0,1,0,0
0.004724900,0,1,0,1
0.006718900,1,1,0,1
0.007720300,1,1,0,0
0.008721300,1,1,1,0
0.010724200,1,1,1,1
0.011726200,1,0,1,1
0.011735200,0,0,1,1
0.013729300,0,0,1,0
0.016734100,1,0,1,0
0.016743300,1,0,1,1
0.018736400,1,1,1,1
0.019738500,1,1,0,1
0.019747700,1,1,0,0
0.021741500,0,1,0,0
0.022742700,0,1,0,1
0.025746900,0,0,0,1
0.025756100,0,0,0,0
0.026748800,1,0,0,0
0.028751400,1,0,0,1
0.030754000,1,0,1,1
0.031756100,0,0,1,1
0.031765100,0,0,1,0
0.032758000,0,1,1,0
0.034760400,0,1,1,1
0.036762700,1,1,1,1
0.037764200,1,1,1,0
0.039766500,1,0,1,0
0.040768000,1,0,1,1
0.041770000,1,0,0,1
0.041779100,0,0,0,1
0.043773200,0,0,0,0
0.046777800,0,1,0,0
0.046786800,1,1,0,0
0.046795600,1,1,0,1
0.049780400,1,1,0,0
0.051782900,0,1,0,0
0.052784900,0,1,1,0
0.052794000,0,1,1,1
0.053786700,0,0,1,1
0.055789100,0,0,1,0
0.056790100,1,0,1,0
0.058792500,1,0,1,1
0.060796800,1,1,1,1
0.061798800,0,1,1,1
0.061807900,0,1,1,0
0.063800100,0,1,0,0
0.064801400,0,1,0,1
0.066803900,1,1,0,1
0.067805900,1,0,0,1
0.067815000,1,0,0,0
0.070810100,1,0,0,1
0.071811000,0,0,0,1
0.073813700,0,0,0,0
0.074815800,0,0,1,0
0.074825000,0,1,1,0
0.076819900,1,1,1,0
0.076829000,1,1,1,1
0.079822200,1,1,1,0
0.081825600,1,0,1,0
0.081834700,0,0,1,0
0.082827700,0,0,1,1
0.085831700,0,0,0,1
0.085840900,0,0,0,0
0.086832500,1,0,0,0
0.088835600,1,1,0,0
0.088844600,1,1,0,1
0.091840400,0,1,0,1
0.091849500,0,1,0,0
0.094844900,0,1,0,1
0.095846400,0,0,0,1
0.096848500,0,0,1,1
0.096857700,1,0,1,1
0.097848900,1,0,1,0
0.100852200,1,0,1,1
0.101855000,0,0,1,1
0.102856200,0,1,1,1
0.103857500,0,1,1,0
0.106861400,1,1,1,0
0.106870600,1,1,1,1
0.107861900,1,1,0,1
0.109865200,1,0,0,1
0.109874200,1,0,0,0
0.111868400,0,0,0,0
0.112869600,0,0,0,1
0.115874900,0,0,0,0
0.116876900,0,1,0,0
0.116886100,1,1,0,0
0.118879400,1,1,1,0
0.118888500,1,1,1,1
0.121882800,0,1,1,1
0.121891800,0,1,1,0
0.123885800,0,0,1,0
0.124887100,0,0,1,1
0.126889700,1,0,1,1
0.127891200,1,0,1,0
0.129893700,1,0,0,0
0.130896000,1,1,0,0
0.130905000,1,1,0,1
0.131897800,0,1,0,1
0.133900000,0,1,0,0
0.136906200,1,1,0,0
0.136915400,1,1,0,1
0.137906700,1,0,0,1
0.139909800,1,0,0,0
0.140911300,1,0,1,0
0.141912900,0,0,1,0
0.142914400,0,0,1,1
0.144916900,0,1,1,1
0.145918400,0,1,1,0
0.146921000,1,1,1,0
0.148923600,1,1,1,1
0.151929400,1,1,0,1
0.151938000,1,0,0,1
0.151946900,0,0,0,1
0.151955800,0,0,0,0
0.154931400,0,0,0,1
0.156935400,1,0,0,1
0.157936600,1,0,0,0
0.158937600,1,1,0,0
0.160940300,1,1,0,1
0.161941700,0,1,0,1
0.162943100,0,1,1,1
0.163944600,0,1,1,0
0.165948700,0,0,1,0
0.166950500,1,0,1,0
0.166959300,1,0,1,1
0.169952800,1,0,1,0
0.171957000,0,0,1,0
0.172959100,0,1,1,0
0.172968300,0,1,1,1
0.173959600,0,1,0,1
0.175962600,0,1,0,0
0.176963900,1,1,0,0
0.178968400,1,1,0,1
0.179969800,1,0,0,1
0.181973500,0,0,0,1
0.181982700,0,0,0,0
0.184977700,0,0,1,0
0.184986800,0,0,1,1
0.186980700,0,1,1,1
0.186989700,1,1,1,1
0.187982700,1,1,1,0
0.190986000,1,1,1,1
0.191987300,0,1,1,1
0.193992500,0,0,1,1
0.194001700,0,0,1,0
0.195994300,0,0,0,0
0.196996300,1,0,0,0
0.197005300,1,0,0,1
0.199998700,1,0,0,0
0.201001400,1,1,0,0
0.202002600,0,1,0,0
0.203003700,0,1,0,1
0.206007200,0,1,0,0
0.207009400,0,1,1,0
0.207018600,1,1,1,0
0.208010300,1,0,1,0
0.209013300,1,0,1,1
0.212018000,0,0,1,1
0.212027000,0,0,1,0
0.215023600,0,1,1,0
0.215032800,0,1,1,1
0.217025500,1,1,1,1
0.218027600,1,1,0,1
0.218036800,1,1,0,0
0.221030200,1,1,0,1
0.222032200,1,0,0,1
0.222041300,0,0,0,1
0.224035200,0,0,0,0
0.227039200,1,0,0,0
0.227048400,1,0,0,1
0.229041600,1,0,1,1
0.229050800,1,1,1,1
0.230043800,1,1,1,0
0.232045700,0,1,1,0
0.233046900,0,1,1,1
0.236052700,0,0,1,1
0.236061800,0,0,1,0
0.237052900,1,0,1,0
0.239055200,1,0,1,1
0.240056500,1,0,0,1
0.242059700,0,0,0,1
0.242068800,0,0,0,0
0.243061500,0,1,0,0
0.245063900,0,1,0,1
0.247066100,1,1,0,1
0.248067500,1,1,0,0
0.250071900,1,0,0,0
0.251074000,1,0,1,0
0.251083100,1,0,1,1
0.252074300,0,0,1,1
0.254077000,0,0,1,0
0.257082300,0,1,1,0
0.257091200,1,1,1,0
0.257100300,1,1,1,1
0.260086100,1,1,1,0
0.262089700,1,1,0,0
0.262098800,0,1,0,0
0.263090500,0,1,0,1
0.264093400,0,0,0,1
0.266096200,0,0,0,0
0.267097200,1,0,0,0
0.269099800,1,0,0,1
0.271103800,1,1,0,1
0.272105900,0,1,0,1
0.272114900,0,1,0,0
0.273106000,0,1,1,0
0.275108800,0,1,1,1
0.277111400,1,1,1,1
0.278113500,1,0,1,1
0.278122600,1,0,1,0
0.281117800,1,0,1,1
0.282119100,0,0,1,1
0.284122600,0,0,0,1
0.284131700,0,0,0,0
0.285123200,0,1,0,0
0.287128200,1,1,0,0
0.287137200,1,1,0,1
0.290130700,1,1,0,0
0.292134400,1,0,0,0
0.292143500,0,0,0,0
0.293136500,0,0,0,1
0.295138700,0,0,1,1
0.296140100,0,0,1,0
0.297141300,1,0,1,0
0.299144600,1,1,1,0
0.299153700,1,1,1,1
0.302150200,0,1,1,1
0.302159300,0,1,1,0
0.305153300,0,1,1,1
0.306155500,0,1,0,1
0.306164700,0,0,0,1
0.307157900,1,0,0,1
0.308158900,1,0,0,0
0.311162600,1,0,0,1
0.312164100,0,0,0,1
0.313165600,0,1,0,1
0.314167200,0,1,0,0
0.317174200,0,1,1,0
0.317183100,1,1,1,0
0.317192100,1,1,1,1
0.320177100,1,0,1,1
0.320186100,1,0,1,0
0.322180400,0,0,1,0
0.323181700,0,0,1,1
0.326186900,0,0,1,0
0.327189000,0,1,1,0
0.327198200,1,1,1,0
0.328189700,1,1,0,0
0.329191100,1,1,0,1
0.332195500,0,1,0,1
0.332204500,0,1,0,0
0.334198700,0,0,0,0
0.335200100,0,0,0,1
0.337202700,1,0,0,1
0.338204100,1,0,0,0
0.339205500,1,0,1,0
0.341209100,1,1,1,0
0.341218100,1,1,1,1
0.342211100,0,1,1,1
0.344213600,0,1,1,0
0.347219800,1,1,1,0
0.347228900,1,1,1,1
0.348220300,1,0,1,1
0.350223900,1,0,0,1
0.350233000,1,0,0,0
0.352225800,0,0,0,0
0.353227000,0,0,0,1
0.355230800,0,1,0,1
0.356232200,0,1,0,0
0.357233100,1,1,0,0
0.359235700,1,1,0,1
0.361238300,1,1,1,1
0.362241000,1,0,1,1
0.362249800,0,0,1,1
0.362258700,0,0,1,0
0.365243900,0,0,1,1
0.367247700,1,0,1,1
0.368249000,1,0,1,0
0.369250000,1,1,1,0
0.371252600,1,1,1,1
0.372254500,1,1,0,1
0.372263700,0,1,0,1
0.374256400,0,1,0,0
0.376260400,0,0,0,0
0.377262500,1,0,0,0
0.377271300,1,0,0,1
0.380264800,1,0,0,0
0.382269100,0,0,0,0
0.383271800,0,0,1,0
0.383280700,0,1,1,0
0.383289700,0,1,1,1
0.386273400,0,1,1,0
0.387276000,1,1,1,0
0.389278300,1,1,1,1
0.390279400,1,0,1,1
0.392282600,0,0,1,1
0.392291800,0,0,1,0
0.394284200,0,0,0,0
0.395285600,0,0,0,1
0.397290300,0,1,0,1
0.397299300,1,1,0,1
0.398290400,1,1,0,0
0.401293800,1,1,0,1
0.402296800,0,1,0,1
0.404300500,0,0,0,1
0.404309700,0,0,0,0
0.405301300,0,0,1,0
0.407305000,1,0,1,0
0.407314000,1,0,1,1
0.410309800,1,0,1,0
0.411311200,1,1,1,0
0.412312800,0,1,1,0
0.413314200,0,1,1,1
0.416319000,0,1,0,1
0.416328200,0,1,0,0
0.417321400,1,1,0,0
0.418322800,1,0,0,0
0.419324200,1,0,0,1
0.422328900,0,0,0,1
0.422338100,0,0,0,0
0.425334400,0,1,0,0
0.425343600,0,1,0,1
0.427337300,0,1,1,1
0.427346500,1,1,1,1
0.428338100,1,1,1,0
0.431343800,1,1,1,1
0.432345900,1,0,1,1
0.432355100,0,0,1,1
0.434347900,0,0,1,0
0.437354100,1,0,1,0
0.437363200,1,0,1,1
0.438354800,1,0,0,1
0.439356300,1,1,0,1
0.440357600,1,1,0,0
0.442359800,0,1,0,0
0.443362700,0,1,0,1
0.446366800,0,0,0,1
0.446376000,0,0,0,0
0.447367500,1,0,0,0
0.449370900,1,0,1,0
0.449380000,1,0,1,1
0.452376100,0,0,1,1
0.452385100,0,0,1,0
0.453376200,0,1,1,0
0.455379200,0,1,1,1
0.457383300,1,1,1,1
0.458384800,1,1,1,0
0.460388200,1,1,0,0
0.460397400,1,0,0,0
0.461389000,1,0,0,1
0.462390300,0,0,0,1
0.464394800,0,0,0,0
0.467400000,0,1,0,0
0.467408900,1,1,0,0
0.467418000,1,1,0,1
0.470403100,1,1,0,0
0.471404200,1,1,1,0
0.472405500,0,1,1,0
0.473406800,0,1,1,1
0.474407800,0,0,1,1
0.476412100,0,0,1,0
0.477413100,1,0,1,0
0.479415600,1,0,1,1
0.481418300,1,1,1,1
0.482421100,1,1,0,1
0.482430100,0,1,0,1
0.482438900,0,1,0,0
0.485424200,0,1,0,1
0.487427100,1,1,0,1
0.488429100,1,0,0,1
0.488438200,1,0,0,0
0.491433600,1,0,0,1
0.492435000,0,0,0,1
0.493436700,0,0,1,1
0.494438200,0,0,1,0
0.495439500,0,1,1,0
0.497443000,1,1,1,0
0.497452000,1,1,1,1
0.500447400,1,1,1,0
0.502450800,1,0,1,0
0.502460000,0,0,1,0
