Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.000000000,0,0,0,0
0.418025500,0,0,1,0
0.418030100,0,1,1,0
0.418038600,0,1,0,0
0.418047300,0,1,0,1
0.918713300,0,1,1,1
0.918718100,1,1,1,1
0.918722800,1,1,1,0
1.419416800,1,1,0,0
1.419425500,1,1,0,1
1.920143000,1,1,1,1
1.920147900,0,1,1,1
1.920152500,0,1,1,0
2.420901900,0,1,0,0
2.420906600,0,0,0,0
2.420915100,0,0,1,0
2.420923800,0,0,1,1
2.921583500,0,0,0,1
2.921588400,1,0,0,1
2.921593000,1,0,0,0
3.422288200,1,0,1,0
3.422296900,1,0,1,1
3.922957900,1,0,0,1
3.922962800,0,0,0,1
3.922967400,0,0,0,0
4.423676100,0,0,1,0
4.423680700,0,1,1,0
4.423689200,0,1,0,0
4.423697900,0,1,0,1
4.924340900,0,1,1,1
4.924345700,1,1,1,1
4.924350400,1,1,1,0
5.046272000,1,1,1,0
