Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.000000000,0,0,0,0
2.284162200,1,0,0,0
2.284174700,1,0,0,1
2.384325900,1,1,0,1
2.449454500,0,1,0,1
2.449467400,0,1,0,0
2.484504100,0,1,1,0
2.549613100,0,0,1,0
2.649785600,0,0,0,0
2.785014700,0,0,0,1
2.950307100,0,0,0,0
3.285898700,0,0,0,1
3.451191700,0,0,0,0
3.786775100,0,0,0,1
3.952062800,0,0,0,0
4.060261700,1,0,0,0
4.060274400,1,0,0,1
4.160436900,1,1,0,1
4.208534900,0,1,0,1
4.208548100,0,1,0,0
4.260619700,0,1,1,0
4.287666800,0,1,1,1
4.308702900,0,0,1,1
4.408882500,0,0,0,1
4.452963300,0,0,0,0
4.561159700,0,0,0,1
4.709426600,0,0,0,0
4.788568800,0,0,0,1
4.953854600,0,0,0,0
5.062048600,0,0,0,1
5.210302600,0,0,0,0
5.289438900,0,0,0,1
5.454725000,0,0,0,0
5.562910000,0,0,0,1
5.711170700,0,0,0,0
5.790310700,0,0,0,1
5.835397500,1,0,0,1
5.835410200,1,0,0,0
5.935559200,1,1,0,0
5.952600100,0,1,0,0
5.952613200,0,1,0,1
5.955594400,0,1,0,0
6.035732400,0,1,1,0
6.052762800,0,0,1,0
6.063781000,0,0,1,1
6.094848000,0,0,1,1
